,Input_text,road_condition,traffic_condition,scenary_data,weather_codition,attractions,Difficulty_score
0,The road from thrissur to palalkd is smootha nd the traffice is less,smootha,less,0,0,0,0.625
1,the traffic from thrissur to kochi was fine and weather is good,0,fine,0,good,0,2.8125
2,"Last week, drove to/fro to attend a funeral at Ettumanoor. Route taken was Bangalore-Salem-Pollachi-Nenmara-Vadakancherry-MC Road-Ettumanoor. Took almost 11 hours including breaks. Kuthiran stretch roads were non existent.   While returning (25th- onam day), avoided Pollachi, and instead opted for the direct route. Time taken was 10 hours. Crossed Kuthiran stretch around 1630 hours, and traffic was much less compared to previous day. Sad to see the destruction and damage caused by flood/rain.",0,much less,0,0,0,0.46875
3,travel from thrissur to palakkad Kuthiran had low traffic at around 12:30 PM. Roads go from bad to worse to worst as you progress from start of tunnel section towards Pattikkad. Section between Kuthiran and Pattikkad is in its worst condition I've seen in a while.,0,low traffic at around 12:30 pm,0,0,0,2.708333333333333
4,"Took the NH47 > Alathur > Pazhayannur > Chelakara > Wadakancherry > Thrissur. After you turn off from the highway, the roads are good albeit winding and narrow.",good,0,0,albeit winding and narrow,0,0.8333333333333333
5,from Kodangallur toThrissur route is when the surface of road gets bad.,0,0,0,0,0,1.0
6,Drove from Palakkad to Kozhikode today. Took Mundur Kongad Cherpulassery Perinthalmanna route. The roads are very bad and almost non existant from Kongad to Mangalamkunnu. ,very bad and almost non existant,0,0,0,0,0.8333333333333333
7,"I had travelled from Trivandrum to Ranny (Mannamaruthy) yesterday. The MC road upto Adoor is in good shape. I faced traffic jams in Venjaramood and Kottarakara, the delay of about 15 minutes waiting for the police to clear the traffic.I had travelled from Trivandrum to Ranny (Mannamaruthy) yesterday. The MC road upto Adoor is in good shape. I faced traffic jams in Venjaramood and Kottarakara, the delay of about 15 minutes waiting for the police to clear the traffic.Roads in Ranny and upto Mannamaruthy are in general ok with some potholed sections.",ok,0,0,0,0,1.25
8, I did the Palakkad - Ottapalam - Kulappully - Thrissur stretch earlier this week and in spite of the monsoon rain it was a superb drive. Excellent road and the celebrated green of Valluvanad in all its glory. I was told the NH between Thrissur and Palakkad remains in a rotten state.,Excellent road,0,0,0,0,1.25
9,"the road via Muvattupuzha, Thodupuzha, Kanhar, right? Those are the best roads in the state as of now. That crazy climb up Moolamattom to Naadukaani is just amazing. Then, carry on forward till Cheruthoni, Idukki and Ramakkalmedu to attain complete Nirwana. Something to be experienced atleast once in a lifetime.",best,0,0,0,0,0.0
10,There are unlimited attractions all the way from Cochin. The best being the Wild elephants and other animals near/before Painavu. The best is to take a powerful rear wheel drive one. Makes up for a perfect Weekend drive from here.,0,0,0,0,wild elephants and other animals near / before painavu .,1.0416666666666667
11,Perinthalmanna till Pulamanthole is silky smooth and wider now with a relaid road. Pulamanthole >Pattambi > Perumbilavu is patched and some portions are relaid(manual) so good enuf to cruise at 50-60 kmph. The bridge at Palakkad-Thrissur district border (near Chalissery) is reconstructed and so a 75m wayside diversion is present which is very uneven and vehicles with low GC better watchout. Perumbilavu till Guruvayoor thru Kunnamkulam is as before with no issues,0,0,0,0,0,0.0
12,"from cochin to Bangalore Traffic towards Blore was low but had huge number of trucks. Passed TCR toll at around 4.30am and the queue towards Cochin was long even during the wee hours.  Kuthiran is all good except for the slow traffic.Coimbatore bypass is a joke. Easily lost good time here. Like excepted, traffic towards Kerala was huge. Scanning the code each time takes a lot of time.",0,huge,0,0,0,0.1875
13,travel from thrissur to palakkad the ottapalam shornur route was good.its quickly reaches the destination.there were a kerala kalamandalam and nila river etc are the attractions.the weather is good.traffic is less,0,less,0,0,kerala kalamandalam and nila river,1.12012987012987
14,"Travel from thrissur to palakkad,the route from wadakkanchery to chelakkara mayannur the road was very smooth.there have less traffic.there have good weather.that was a village area.so many trees and attractions are there.also pineapple vegetations we can see there",0,0,0,0,0,0.0
15,"travel from thrissur to palakkad,the kuthiran road was huge traffic.",0,0,0,0,0,1.375
16,coimbatore-vaalayar-palakkad-trichur-angamaly-cochin is the route.....road work is going on upto vaalayar...from vaalayar to cochin 4 way road work is finished....now the road condition is good.....no need of pollachi route,good,0,0,0,0,1.125
17,"Coimbatore to Valayar and Palakad to Thrissur sections are not good. But still, it is much better than any other route. Approx travel time-4.30 to 5.30 hrs depending on traffic.",much better than any other route,0,0,0,0,0.0
18,Coimbatore to Palakkad is direct and you have a good road. If you are travelling from Udumalpet and if you do not want to touch Coimbatore then rake a diversion in Pollachi to Palakkad. Road condition is ok but you save time and distance.,0,0,0,0,0,0.0
19,"from thrissur to ernamkulam,the NH road services are excellent.its a good road.the weather conditions does not effect the roads.the traffic in school time and office times are huge.the night drive is ok",0,0,0,0,0,0.0
20,From Vadakkanchery to Thrissur is newly laid road now though it's single road (two lane) but traffic is heavy. I just came back to Palakkad on this stretch an hour back.,0,heavy,0,0,0,1.3480392156862744
21,Roads from cochin to Munnar and from there to alapuzha are all fine good ..NH85 highway is narrow and traffic blocks are regular in the evening,fine good,0,0,0,0,1.019736842105263
22,Muvattupuzha-munnar route which is less congested in the early morning. the road has several dangerous curves that you had better be careful while cornering the curves.,dangerous curves,0,0,0,0,0.0
23,Munnar is refreshingly cooler than the coast and other town. if you are visiting in January it is relatively warm other places in munnar the temperatures drop considerably after the sun goes down,0,0,0,relatively warm,0,0.75
24,From vaalayar to cochin 4 way road work is finished.. now the road condition is good,0,0,0,0,0,0.0
25,The traffic from Alappuzha to Ernakulam is heavy,0,heavy,0,0,0,0.19230769230769232
26,Traffic was heavy while driving from Alappuzha to Ernakulam,0,heavy,0,0,0,0.17857142857142855
27,The traffic from Alappuzha to Ernakulam is very smooth,0,very smooth,0,0,0,0.3125
28,Traffic was very smooth while driving from Alappuzha to Ernakulam,0,very smooth,0,0,0,0.41666666666666663
29,The traffic from Alappuzha to Ernakulam is crawling,0,crawling,0,0,0,0.39473684210526316
30,Traffic was crawling while driving from Alappuzha to Ernakulam,0,crawling,0,0,0,0.375
31,The traffic from Ernakulam to Idukki is heavy,0,heavy,0,0,0,0.3571428571428571
32,Traffic was heavy while driving from Ernakulam to Idukki,0,heavy,0,0,0,0.3409090909090909
33,The traffic from Ernakulam to Idukki is very smooth,0,very smooth,0,0,0,0.41666666666666663
34,Traffic was very smooth while driving from Ernakulam to Idukki,0,very smooth,0,0,0,0.4807692307692308
35,The traffic from Ernakulam to Idukki is crawling,0,crawling,0,0,0,0.4629629629629629
36,Traffic was crawling while driving from Ernakulam to Idukki,0,crawling,0,0,0,0.44642857142857145
37,The traffic from Idukki to Kannur is heavy,0,heavy,0,0,0,0.4310344827586207
38,Traffic was heavy while driving from Idukki to Kannur,0,heavy,0,0,0,0.41666666666666663
39,The traffic from Idukki to Kannur is very smooth,0,very smooth,0,0,0,0.46875
40,Traffic was very smooth while driving from Idukki to Kannur,0,very smooth,0,0,0,0.5147058823529411
41,The traffic from Idukki to Kannur is crawling,0,crawling,0,0,0,0.5
42,Traffic was crawling while driving from Idukki to Kannur,0,crawling,0,0,0,0.4861111111111111
43,The traffic from Kannur to Kasaragod is heavy,0,heavy,0,0,0,0.472972972972973
44,Traffic was heavy while driving from Kannur to Kasaragod,0,heavy,0,0,0,0.4605263157894737
45,The traffic from Kannur to Kasaragod is very smooth,0,very smooth,0,0,0,0.5
46,Traffic was very smooth while driving from Kannur to Kasaragod,0,very smooth,0,0,0,0.5357142857142857
47,The traffic from Kannur to Kasaragod is crawling,0,crawling,0,0,0,0.5232558139534884
48,Traffic was crawling while driving from Kannur to Kasaragod,0,crawling,0,0,0,0.5113636363636364
49,The traffic from Kasaragod to Kollam is heavy,0,heavy,0,0,0,0.5
50,Traffic was heavy while driving from Kasaragod to Kollam,0,heavy,0,0,0,0.4891304347826087
51,The traffic from Kasaragod to Kollam is very smooth,0,very smooth,0,0,0,0.5208333333333334
52,Traffic was very smooth while driving from Kasaragod to Kollam,0,very smooth,0,0,0,0.55
53,The traffic from Kasaragod to Kollam is crawling,0,crawling,0,0,0,0.5392156862745099
54,Traffic was crawling while driving from Kasaragod to Kollam,0,crawling,0,0,0,0.5288461538461539
55,The traffic from Kollam to Kottayam is heavy,0,heavy,0,0,0,0.5188679245283019
56,Traffic was heavy while driving from Kollam to Kottayam,0,heavy,0,0,0,0.5092592592592592
57,The traffic from Kollam to Kottayam is very smooth,0,very smooth,0,0,0,0.5357142857142857
58,Traffic was very smooth while driving from Kollam to Kottayam,0,very smooth,0,0,0,0.5603448275862069
59,The traffic from Kollam to Kottayam is crawling,0,crawling,0,0,0,0.5508474576271186
60,Traffic was crawling while driving from Kollam to Kottayam,0,crawling,0,0,0,0.5416666666666667
61,The traffic from Kottayam to Kozhikode is heavy,0,heavy,0,0,0,0.5327868852459016
62,Traffic was heavy while driving from Kottayam to Kozhikode,0,heavy,0,0,0,0.5241935483870968
63,The traffic from Kottayam to Kozhikode is very smooth,0,very smooth,0,0,0,0.546875
64,Traffic was very smooth while driving from Kottayam to Kozhikode,0,very smooth,0,0,0,0.5681818181818181
65,The traffic from Kottayam to Kozhikode is crawling,0,crawling,0,0,0,0.5597014925373135
66,Traffic was crawling while driving from Kottayam to Kozhikode,0,crawling,0,0,0,0.5514705882352942
67,The traffic from Kozhikode to Malappuram is heavy,0,heavy,0,0,0,0.5434782608695652
68,Traffic was heavy while driving from Kozhikode to Malappuram,0,heavy,0,0,0,0.5357142857142857
69,The traffic from Kozhikode to Malappuram is very smooth,0,very smooth,0,0,0,0.5555555555555556
70,Traffic was very smooth while driving from Kozhikode to Malappuram,0,very smooth,0,0,0,0.5743243243243243
71,The traffic from Kozhikode to Malappuram is crawling,0,crawling,0,0,0,0.5666666666666667
72,Traffic was crawling while driving from Kozhikode to Malappuram,0,crawling,0,0,0,0.5592105263157895
73,The traffic from Malappuram to Palakkad is heavy,0,heavy,0,0,0,0.551948051948052
74,Traffic was heavy while driving from Malappuram to Palakkad,0,heavy,0,0,0,0.5448717948717949
75,The traffic from Malappuram to Palakkad is very smooth,0,very smooth,0,0,0,0.5625
76,Traffic was very smooth while driving from Malappuram to Palakkad,0,very smooth,0,0,0,0.5792682926829269
77,The traffic from Malappuram to Palakkad is crawling,0,crawling,0,0,0,0.572289156626506
78,Traffic was crawling while driving from Malappuram to Palakkad,0,crawling,0,0,0,0.5654761904761905
79,The traffic from Palakkad to Pathanamthitta is heavy,0,heavy,0,0,0,0.5588235294117647
80,Traffic was heavy while driving from Palakkad to Pathanamthitta,0,heavy,0,0,0,0.5523255813953488
81,The traffic from Palakkad to Pathanamthitta is very smooth,0,very smooth,0,0,0,0.5681818181818181
82,Traffic was very smooth while driving from Palakkad to Pathanamthitta,0,very smooth,0,0,0,0.5833333333333334
83,The traffic from Palakkad to Pathanamthitta is crawling,0,crawling,0,0,0,0.576923076923077
84,Traffic was crawling while driving from Palakkad to Pathanamthitta,0,crawling,0,0,0,0.5706521739130435
85,The traffic from Pathanamthitta to Thiruvananthapuram is heavy,0,heavy,0,0,0,0.564516129032258
86,Traffic was heavy while driving from Pathanamthitta to Thiruvananthapuram,0,heavy,0,0,0,0.5585106382978723
87,The traffic from Pathanamthitta to Thiruvananthapuram is very smooth,0,very smooth,0,0,0,0.5729166666666666
88,Traffic was very smooth while driving from Pathanamthitta to Thiruvananthapuram,0,very smooth,0,0,0,0.5867346938775511
89,The traffic from Pathanamthitta to Thiruvananthapuram is crawling,0,crawling,0,0,0,0.5808080808080808
90,Traffic was crawling while driving from Pathanamthitta to Thiruvananthapuram,0,crawling,0,0,0,0.5750000000000001
91,The traffic from Thiruvananthapuram to Thrissur is heavy,0,heavy,0,0,0,0.5693069306930694
92,Traffic was heavy while driving from Thiruvananthapuram to Thrissur,0,heavy,0,0,0,0.5637254901960784
93,The traffic from Thiruvananthapuram to Thrissur is very smooth,0,very smooth,0,0,0,0.576923076923077
94,Traffic was very smooth while driving from Thiruvananthapuram to Thrissur,0,very smooth,0,0,0,0.589622641509434
95,The traffic from Thiruvananthapuram to Thrissur is crawling,0,crawling,0,0,0,0.5841121495327103
96,Traffic was crawling while driving from Thiruvananthapuram to Thrissur,0,crawling,0,0,0,0.5787037037037037
97,The traffic from Thrissur to Wayanad is heavy,0,heavy,0,0,0,0.573394495412844
98,Traffic was heavy while driving from Thrissur to Wayanad,0,heavy,0,0,0,0.5681818181818181
99,The traffic from Thrissur to Wayanad is very smooth,0,very smooth,0,0,0,0.5803571428571429
100,Traffic was very smooth while driving from Thrissur to Wayanad,0,very smooth,0,0,0,0.5921052631578947
101,The traffic from Thrissur to Wayanad is crawling,0,crawling,0,0,0,0.5869565217391305
102,Traffic was crawling while driving from Thrissur to Wayanad,0,crawling,0,0,0,1.550646551724138
103,The road from Alappuzha to Ernakulam are smooth,smooth,0,0,0,0,0.9226190476190477
104,Roads were smooth while driving from Alappuzha to Ernakulam,smooth,0,0,0,0,0.9510869565217392
105,The road from Alappuzha to Ernakulam are very smooth,very smooth,0,0,0,0,0.9750000000000001
106,Roads were very smooth while driving from Alappuzha to Ernakulam,very smooth,0,0,0,0,0.985576923076923
107,The road from Alappuzha to Ernakulam are broken,broken,0,0,0,0,0.9953703703703703
108,Roads were broken while driving from Alappuzha to Ernakulam,broken,0,0,0,0,0.9598214285714286
109,The road from Alappuzha to Ernakulam are bumpy,bumpy,0,0,0,0,0.9267241379310345
110,Roads were bumpy while driving from Alappuzha to Ernakulam,bumpy,0,0,0,0,0.967741935483871
111,The road from Alappuzha to Ernakulam are easy going,easy going,0,0,0,0,1.0037878787878787
112,Roads were easy going while driving from Alappuzha to Ernakulam,easy going,0,0,0,0,0.9742647058823529
113,The road from Alappuzha to Ernakulam are bad,bad,0,0,0,0,0.9464285714285714
114,Roads were bad while driving from Alappuzha to Ernakulam,bad,0,0,0,0,0.920138888888889
115,The road from Ernakulam to Idukki are smooth,smooth,0,0,0,0,0.8952702702702703
116,Roads were smooth while driving from Ernakulam to Idukki,smooth,0,0,0,0,0.9134615384615384
117,The road from Ernakulam to Idukki are very smooth,very smooth,0,0,0,0,0.9298780487804879
118,Roads were very smooth while driving from Ernakulam to Idukki,very smooth,0,0,0,0,0.9375
119,The road from Ernakulam to Idukki are broken,broken,0,0,0,0,0.9447674418604651
120,Roads were broken while driving from Ernakulam to Idukki,broken,0,0,0,0,0.9232954545454546
121,The road from Ernakulam to Idukki are bumpy,bumpy,0,0,0,0,0.9027777777777778
122,Roads were bumpy while driving from Ernakulam to Idukki,bumpy,0,0,0,0,0.9308510638297872
123,The road from Ernakulam to Idukki are easy going,easy going,0,0,0,0,0.9566326530612245
124,Roads were easy going while driving from Ernakulam to Idukki,easy going,0,0,0,0,0.9375
125,The road from Ernakulam to Idukki are bad,bad,0,0,0,0,0.9191176470588236
126,Roads were bad while driving from Ernakulam to Idukki,bad,0,0,0,0,0.9014423076923077
127,The road from Idukki to Kannur are smooth,smooth,0,0,0,0,0.8844339622641508
128,Roads were smooth while driving from Idukki to Kannur,smooth,0,0,0,0,0.8977272727272727
129,The road from Idukki to Kannur are very smooth,very smooth,0,0,0,0,0.9100877192982457
130,Roads were very smooth while driving from Idukki to Kannur,very smooth,0,0,0,0,0.915948275862069
131,The road from Idukki to Kannur are broken,broken,0,0,0,0,0.9216101694915255
132,Roads were broken while driving from Idukki to Kannur,broken,0,0,0,0,0.90625
133,The road from Idukki to Kannur are bumpy,bumpy,0,0,0,0,0.8913934426229508
134,Roads were bumpy while driving from Idukki to Kannur,bumpy,0,0,0,0,0.9126984126984127
135,The road from Idukki to Kannur are easy going,easy going,0,0,0,0,0.9326923076923077
136,Roads were easy going while driving from Idukki to Kannur,easy going,0,0,0,0,0.9185606060606061
137,The road from Idukki to Kannur are bad,bad,0,0,0,0,0.9048507462686567
138,Roads were bad while driving from Idukki to Kannur,bad,0,0,0,0,0.8915441176470589
139,The road from Kannur to Kasaragod are smooth,smooth,0,0,0,0,0.8786231884057971
140,Roads were smooth while driving from Kannur to Kasaragod,smooth,0,0,0,0,0.8890845070422536
141,The road from Kannur to Kasaragod are very smooth,very smooth,0,0,0,0,0.898972602739726
142,Roads were very smooth while driving from Kannur to Kasaragod,very smooth,0,0,0,0,0.9037162162162162
143,The road from Kannur to Kasaragod are broken,broken,0,0,0,0,0.9083333333333333
144,Roads were broken while driving from Kannur to Kasaragod,broken,0,0,0,0,0.8963815789473684
145,The road from Kannur to Kasaragod are bumpy,bumpy,0,0,0,0,0.8847402597402597
146,Roads were bumpy while driving from Kannur to Kasaragod,bumpy,0,0,0,0,0.9018987341772151
147,The road from Kannur to Kasaragod are easy going,easy going,0,0,0,0,0.91820987654321
148,Roads were easy going while driving from Kannur to Kasaragod,easy going,0,0,0,0,0.9070121951219512
149,The road from Kannur to Kasaragod are bad,bad,0,0,0,0,0.8960843373493976
150,Roads were bad while driving from Kannur to Kasaragod,bad,0,0,0,0,0.8854166666666667
151,The road from Kasaragod to Kollam are smooth,smooth,0,0,0,0,0.875
152,Roads were smooth while driving from Kasaragod to Kollam,smooth,0,0,0,0,0.8836206896551724
153,The road from Kasaragod to Kollam are very smooth,very smooth,0,0,0,0,0.8918539325842696
154,Roads were very smooth while driving from Kasaragod to Kollam,very smooth,0,0,0,0,0.8958333333333334
155,The road from Kasaragod to Kollam are broken,broken,0,0,0,0,0.8997252747252747
156,Roads were broken while driving from Kasaragod to Kollam,broken,0,0,0,0,0.8899456521739131
157,The road from Kasaragod to Kollam are bumpy,bumpy,0,0,0,0,0.8803763440860215
158,Roads were bumpy while driving from Kasaragod to Kollam,bumpy,0,0,0,0,0.8947368421052632
159,The road from Kasaragod to Kollam are easy going,easy going,0,0,0,0,0.9085051546391752
160,Roads were easy going while driving from Kasaragod to Kollam,easy going,0,0,0,0,0.899234693877551
161,The road from Kasaragod to Kollam are bad,bad,0,0,0,0,0.8901515151515151
162,Roads were bad while driving from Kasaragod to Kollam,bad,0,0,0,0,0.88125
163,The road from Kollam to Kottayam are smooth,smooth,0,0,0,0,0.8725247524752475
164,Roads were smooth while driving from Kollam to Kottayam,smooth,0,0,0,0,0.8798543689320388
165,The road from Kollam to Kottayam are very smooth,very smooth,0,0,0,0,0.886904761904762
166,Roads were very smooth while driving from Kollam to Kottayam,very smooth,0,0,0,0,0.8903301886792453
167,The road from Kollam to Kottayam are broken,broken,0,0,0,0,0.8936915887850467
168,Roads were broken while driving from Kollam to Kottayam,broken,0,0,0,0,0.8854166666666667
169,The road from Kollam to Kottayam are bumpy,bumpy,0,0,0,0,0.8772935779816514
170,Roads were bumpy while driving from Kollam to Kottayam,bumpy,0,0,0,0,0.8896396396396395
171,The road from Kollam to Kottayam are easy going,easy going,0,0,0,0,0.9015486725663717
172,Roads were easy going while driving from Kollam to Kottayam,easy going,0,0,0,0,0.893640350877193
173,The road from Kollam to Kottayam are bad,bad,0,0,0,0,0.8858695652173914
174,Roads were bad while driving from Kollam to Kottayam,bad,0,0,0,0,0.8782327586206896
175,The road from Kottayam to Kozhikode are smooth,smooth,0,0,0,0,0.8707264957264957
176,Roads were smooth while driving from Kottayam to Kozhikode,smooth,0,0,0,0,0.8771008403361344
177,The road from Kottayam to Kozhikode are very smooth,very smooth,0,0,0,0,0.8832644628099173
178,Roads were very smooth while driving from Kottayam to Kozhikode,very smooth,0,0,0,0,0.8862704918032787
179,The road from Kottayam to Kozhikode are broken,broken,0,0,0,0,0.8892276422764228
180,Roads were broken while driving from Kottayam to Kozhikode,broken,0,0,0,0,0.8820564516129032
181,The road from Kottayam to Kozhikode are bumpy,bumpy,0,0,0,0,0.875
182,Roads were bumpy while driving from Kottayam to Kozhikode,bumpy,0,0,0,0,0.8858267716535433
183,The road from Kottayam to Kozhikode are easy going,easy going,0,0,0,0,0.8963178294573644
184,Roads were easy going while driving from Kottayam to Kozhikode,easy going,0,0,0,0,0.889423076923077
185,The road from Kottayam to Kozhikode are bad,bad,0,0,0,0,0.8826335877862596
186,Roads were bad while driving from Kottayam to Kozhikode,bad,0,0,0,0,0.8759469696969697
187,The road from Kozhikode to Malappuram are smooth,smooth,0,0,0,0,0.8693609022556391
188,Roads were smooth while driving from Kozhikode to Malappuram,smooth,0,0,0,0,0.875
189,The road from Kozhikode to Malappuram are very smooth,very smooth,0,0,0,0,0.8804744525547445
190,Roads were very smooth while driving from Kozhikode to Malappuram,very smooth,0,0,0,0,0.8831521739130435
191,The road from Kozhikode to Malappuram are broken,broken,0,0,0,0,0.8857913669064749
192,Roads were broken while driving from Kozhikode to Malappuram,broken,0,0,0,0,0.8794642857142858
193,The road from Kozhikode to Malappuram are bumpy,bumpy,0,0,0,0,0.8732269503546098
194,Roads were bumpy while driving from Kozhikode to Malappuram,bumpy,0,0,0,0,0.8828671328671328
195,The road from Kozhikode to Malappuram are easy going,easy going,0,0,0,0,0.8922413793103448
196,Roads were easy going while driving from Kozhikode to Malappuram,easy going,0,0,0,0,0.8861301369863013
197,The road from Kozhikode to Malappuram are bad,bad,0,0,0,0,0.8801020408163265
198,Roads were bad while driving from Kozhikode to Malappuram,bad,0,0,0,0,0.8741554054054055
199,The road from Malappuram to Palakkad are smooth,smooth,0,0,0,0,0.868288590604027
200,Roads were smooth while driving from Malappuram to Palakkad,smooth,0,0,0,0,0.8733443708609272
201,The road from Malappuram to Palakkad are very smooth,very smooth,0,0,0,0,0.8782679738562091
202,Roads were very smooth while driving from Malappuram to Palakkad,very smooth,0,0,0,0,0.8806818181818182
203,The road from Malappuram to Palakkad are broken,broken,0,0,0,0,0.8830645161290323
204,Roads were broken while driving from Malappuram to Palakkad,broken,0,0,0,0,0.877403846153846
205,The road from Malappuram to Palakkad are bumpy,bumpy,0,0,0,0,0.8718152866242037
206,Roads were bumpy while driving from Malappuram to Palakkad,bumpy,0,0,0,0,0.880503144654088
207,The road from Malappuram to Palakkad are easy going,easy going,0,0,0,0,0.8889751552795031
208,Roads were easy going while driving from Malappuram to Palakkad,easy going,0,0,0,0,0.8834876543209877
209,The road from Malappuram to Palakkad are bad,bad,0,0,0,0,0.8780674846625768
210,Roads were bad while driving from Malappuram to Palakkad,bad,0,0,0,0,0.8727134146341463
211,The road from Palakkad to Pathanamthitta are smooth,smooth,0,0,0,0,0.8674242424242424
212,Roads were smooth while driving from Palakkad to Pathanamthitta,smooth,0,0,0,0,0.8720059880239521
213,The road from Palakkad to Pathanamthitta are very smooth,very smooth,0,0,0,0,0.8764792899408285
214,Roads were very smooth while driving from Palakkad to Pathanamthitta,very smooth,0,0,0,0,0.8786764705882353
215,The road from Palakkad to Pathanamthitta are broken,broken,0,0,0,0,0.8808479532163743
216,Roads were broken while driving from Palakkad to Pathanamthitta,broken,0,0,0,0,0.8757267441860466
217,The road from Palakkad to Pathanamthitta are bumpy,bumpy,0,0,0,0,0.8706647398843931
218,Roads were bumpy while driving from Palakkad to Pathanamthitta,bumpy,0,0,0,0,0.8785714285714286
219,The road from Palakkad to Pathanamthitta are easy going,easy going,0,0,0,0,0.8862994350282485
220,Roads were easy going while driving from Palakkad to Pathanamthitta,easy going,0,0,0,0,0.8813202247191011
221,The road from Palakkad to Pathanamthitta are bad,bad,0,0,0,0,0.8763966480446927
222,Roads were bad while driving from Palakkad to Pathanamthitta,bad,0,0,0,0,0.8715277777777777
223,The road from Pathanamthitta to Thiruvananthapuram are smooth,smooth,0,0,0,0,0.8667127071823204
